Product,Specific Gravity,Purpose
DrisTemp,1.440,Rheology / Filtration
DRYOCIDE,0.700,Biocide
ECCO-BAR,4.200,Weight
ECCO-LUBE,1.010,Lubricant
ECCO-MUL,0.899,Emulsifier
ECCO-MUL E,0.870,Emulsifier
ECCO-PAC LV,1.600,Rheology / Filtration
ECCO-PAC R,1.600,Rheology / Filtration
ECCO-TEC,0.910,Emulsifier
ECCO-VIS,1.700,Rheology / Filtration
ECOFLOW,0.780,Base Oil
EDC 95-08,0.806,Base Oil
EDC 95-11,0.820,Base Oil
EDC99-DW,0.815,Base Oil
EFB,1.500,LCM 
EMO 4000,0.820,Base Oil
Epi Mul 4080,0.950,Emulsifier 
ESCAID 110,0.807,Base Oil
Escaid 120,0.820,Base Oils 
ESCAID 2000,0.800,Base Oil
ESCAID 240,0.800,Base Oil
EXP1,0.835,Lubricant 
EXP-171,0.784,Base Oil
EXP-175,1.020,Other 
EXP2,0.931,Lubricant 
EXP3,0.973,Lubricant 
EXXSOL D80,0.803,Base Oil
FILTREX,0.860,Deflocculant
FinaGreen VLV,0.860,Base Oil
FL 1790,1.010,Filtration Control
FLDF 400,0.955,HTHP Filtration 
FLOW-CARB 10,2.710,Other 
FLOW-CARB 20,2.710,Other 
FLOW-CARB 5,2.710,Other 
FLOW-CLEAN,0.840,Other 
FLOW-CLEAN CMT,0.840,Other 
FLOW-CLEAN SA,0.840,Other 
FLOW-CLEAN V,0.870,Other 
FLOW-CLEAN VIS,0.870,Other 
FLOW-MUL,0.928,Other 
FLOW-SURF,1.010,Other 
FLOW-SURF S,1.010,Other 
FLOWZAN,1.600,Rheology / Filtration 
GILSONITE,1.130,HTHP Filtration
Glycerine,1.260,Hydrate Inhibitor 
GOLD FLUSH,0.835,Other 
GOLD FLUSH II,0.840,Other 
GOLD SURF,1.010,Other 
GT Trol L,0.960,Rheology / Filtration
GT-2700,0.792,Base Oil
GT-3000,0.792,Base Oils 
Gumpro Emulsifier Powder,0.750,Emulsifier 
GYPSUM,2.300,Other 
HDF 200,0.812,Base Oil
HDF-2000,0.805,Base Oil
HGS 18000,0.600,Other 
HME Energizer,0.800,Other 
HP-007,0.650,Other 
INTOIL P,0.925,Other 
INTOIL P DIESEL DISPERSION,0.860,Other 
Intoil P in Vassa LP 90 (5%),0.826,Base Oil
INTOIL P SYNTHETIC DISPERSION,0.795,Other 
ISO-TEQ,0.795,Base Oil
KAT-DRILL,0.115,Other 
KBr,2.750,Salts 
KCl,1.980,Salt
Kel-Star 300,1.500,Other 
KEM-SEAL,1.450,Rheology / Filtration
KEM-SEAL® PLUS,1.450,Rheology / Filtration
KHCO2,1.910,Salt
KOH,2.044,pH Control
KRONOMUL CW,0.940,Emulsifier 
KRONOMUL HP,0.920,Emulsifier 
KRONO-TROL XT,1.030,HTHP Filtration 
LAMIUM 11C,0.810,Base Oil
LAMIX 30,0.780,Base Oils 
LATIRATE,0.889,Lubricant 
LC-LUBE,2.400,Lubricant
LC-LUBE F,2.400,Lubricant
LD-8,0.983,Defoamer
LD-9,1.000,Defoamer
LD-S,1.000,Defoamer
LIGCO,1.650,Deflocculant
LIGCON,1.300,Deflocculant
Lime,2.240,pH Control 
Lube S,0.842,Lubricant 
LUBE S,0.910,Lubricant 
Lube Sx,1.010,Lubricant 
LUBE-622,0.983,Lubricant 
LUBRI-FILM,1.500,Lubricant
LVT 200,0.820,Base Oil
Magma Vert TH,0.899,Emulsifier 
MAGMA-GEL ,1.700,Rheology / Filtration 
MAGMA-GEL SE,1.700,Rheology / Filtration 
MAGMA-PLEX,2.660,Other 
MAGMA-SEAL,1.490,HTHP Filtration 
MAGMA-TROL,1.030,Rheology / Filtration 
MAGMA-TROL HT,1.040,Rheology / Filtration 
MAGMA-VERT,0.980,Emulsifier 
MAGMA-VERT/Smooth Fluid,0.900,Emulsifier 
MAGNE-SET RETARDER,1.730,Other 
MAGNESIUM OXIDE,3.580,Other 
MAGNESIUM PEROXIDE,0.800,Other 
MAX-GUARD,1.010,Shale Control 
MAX-PLEX,1.950,Shale Control 
MAX-SHIELD,1.050,Other 
MAX-TROL,1.950,Rheology / Filtration 
MEA,1.012,Alkalinity control
MENTOR 26,0.813,Base Oil
MG3,0.813,Base Oils 
MgCl2,2.000,Salt
MicroDense,4.700,Weight Material 
MICROMAX,4.700,Weight Material 
MIL-BAR,4.200,Weight
MIL-BAR 410,4.100,Weight
MIL-BAR NA,4.000,Weight Material 
MIL-BEN,2.500,Rheology / Filtration
MIL-BIO SEA 98,1.100,Biocide
MIL-BREAK,0.932,Corrosion Inhibitor
MIL-BREAK SA,1.008,Other 
MIL-CARB,2.710,Weight material/Bridging
MIL-CARB 150,2.710,LCM 
MIL-CARB 25,2.710,Weight material/Bridging
MIL-CARB 450,2.710,LCM 
MIL-CARB 5,2.710,Weight material/Bridging
